Date,OneYear,TwoYear,ThreeYear,FiveYear,SevenYear,TenYear,TwentyYear
9/3/1999,3.15,3.65,4.04,4.57,4.91,5.22,5.83
9/6/1999,3.09,3.56,3.93,4.46,4.82,5.16,5.8
9/7/1999,3.12,3.6,3.99,4.52,4.86,5.19,5.82
9/8/1999,3.14,3.65,4.04,4.6,4.94,5.27,5.89
9/9/1999,3.18,3.69,4.08,4.61,4.94,5.27,5.91
9/10/1999,3.17,3.71,4.11,4.65,4.97,5.29,5.93
9/13/1999,3.19,3.75,4.15,4.69,5.02,5.34,5.99
9/14/1999,3.19,3.72,4.12,4.66,4.99,5.31,5.96
9/15/1999,3.2,3.76,4.18,4.73,5.07,5.38,6.01
9/16/1999,3.19,3.74,4.15,4.72,5.07,5.39,6
9/17/1999,3.12,3.64,4.04,4.6,4.95,5.28,5.88
9/20/1999,3.1,3.6,3.99,4.55,4.91,5.24,5.87
9/21/1999,3.17,3.72,4.13,4.7,5.05,5.36,5.95
9/22/1999,3.16,3.69,4.1,4.66,5,5.31,5.92
9/23/1999,3.16,3.7,4.12,4.67,5.01,5.33,5.92
9/24/1999,3.09,3.58,3.97,4.51,4.86,5.2,5.81
9/27/1999,3.1,3.6,3.99,4.54,4.89,5.22,5.81
9/28/1999,3.16,3.69,4.09,4.64,4.97,5.27,5.84
9/29/1999,3.15,3.69,4.1,4.65,4.99,5.3,5.88
9/30/1999,3.18,3.73,4.14,4.68,5.02,5.34,5.93
10/1/1999,3.27,3.82,4.22,4.72,5.03,5.34,5.92
10/4/1999,3.35,3.92,4.32,4.81,5.1,5.38,5.94
10/5/1999,3.37,3.91,4.29,4.77,5.06,5.36,5.94
10/6/1999,3.42,3.97,4.34,4.81,5.1,5.38,5.95
10/7/1999,3.44,3.98,4.36,4.84,5.13,5.42,6.01
10/8/1999,3.4,3.93,4.32,4.8,5.1,5.4,6.02
10/11/1999,3.44,3.99,4.38,4.86,5.15,5.43,6.03
10/12/1999,3.49,4.05,4.43,4.91,5.19,5.47,6.09
10/13/1999,3.47,4.04,4.43,4.9,5.18,5.47,6.08
10/14/1999,3.55,4.13,4.53,5.01,5.29,5.56,6.14
10/15/1999,3.58,4.18,4.59,5.08,5.36,5.61,6.16
10/18/1999,3.53,4.1,4.49,4.98,5.28,5.57,6.16
10/19/1999,3.6,4.15,4.55,5.05,5.35,5.62,6.22
10/20/1999,3.66,4.19,4.58,5.07,5.36,5.64,6.2
10/21/1999,3.65,4.18,4.58,5.07,5.36,5.62,6.19
10/22/1999,3.62,4.14,4.52,5.02,5.31,5.57,6.12
10/25/1999,3.62,4.15,4.54,5.04,5.33,5.59,6.14
10/26/1999,3.67,4.21,4.6,5.1,5.38,5.63,6.14
10/27/1999,3.64,4.16,4.55,5.05,5.32,5.55,6.03
10/28/1999,3.6,4.11,4.48,4.96,5.23,5.48,5.99
10/29/1999,3.56,4.04,4.4,4.87,5.14,5.37,5.86
11/1/1999,3.61,4.07,4.42,4.85,5.1,5.33,5.84
11/2/1999,3.61,4.07,4.41,4.84,5.09,5.3,5.8
11/3/1999,3.59,4.04,4.37,4.81,5.06,5.29,5.78
11/4/1999,3.57,4.01,4.34,4.79,5.05,5.28,5.78
11/5/1999,3.53,3.95,4.27,4.68,4.92,5.15,5.63
