Date,1Y,2Y,3Y,5Y,7Y,10Y,20Y
9/2/1999,0.138,0.358,0.525,1.105,1.508,1.876,2.664
9/3/1999,0.137,0.336,0.495,1.069,1.477,1.838,2.649
9/6/1999,0.134,0.326,0.482,1.021,1.422,1.795,2.623
9/7/1999,0.144,0.351,0.528,1.065,1.456,1.82,2.644
9/8/1999,0.149,0.364,0.543,1.075,1.456,1.815,2.64
9/9/1999,0.159,0.38,0.567,1.102,1.483,1.829,2.653
9/10/1999,0.158,0.375,0.562,1.084,1.456,1.8,2.631
9/13/1999,0.158,0.363,0.543,1.051,1.415,1.77,2.605
9/14/1999,0.142,0.326,0.482,0.983,1.346,1.72,2.57
9/16/1999,0.13,0.31,0.463,0.945,1.31,1.709,2.567
9/17/1999,0.13,0.3,0.441,0.932,1.309,1.722,2.585
9/20/1999,0.12,0.255,0.37,0.861,1.243,1.668,2.547
9/21/1999,0.118,0.26,0.367,0.88,1.277,1.693,2.564
9/22/1999,0.138,0.29,0.422,0.944,1.34,1.722,2.594
9/24/1999,0.126,0.27,0.378,0.882,1.274,1.63,2.51
9/27/1999,0.124,0.26,0.373,0.881,1.279,1.603,2.48
9/28/1999,0.125,0.269,0.382,0.889,1.282,1.624,2.488
9/29/1999,0.123,0.262,0.366,0.857,1.238,1.585,2.454
9/30/1999,0.135,0.293,0.406,0.905,1.289,1.619,2.49
10/1/1999,0.131,0.286,0.396,0.881,1.263,1.583,2.478
10/4/1999,0.126,0.268,0.36,0.82,1.199,1.518,2.437
10/5/1999,0.13,0.276,0.369,0.839,1.226,1.523,2.447
10/6/1999,0.134,0.288,0.397,0.904,1.31,1.606,2.506
10/7/1999,0.134,0.294,0.413,0.929,1.352,1.645,2.538
10/8/1999,0.139,0.303,0.433,0.971,1.409,1.679,2.564
10/12/1999,0.138,0.311,0.447,1.003,1.45,1.711,2.591
10/13/1999,0.131,0.29,0.411,0.938,1.38,1.671,2.546
10/14/1999,0.12,0.27,0.392,0.932,1.402,1.693,2.563
10/15/1999,0.12,0.261,0.391,0.931,1.403,1.711,2.573
